Time,Operator,Production Order,Material #,Quantity,Serial #,Leak Rate
2021-06-30 14:44:06.289093,Colin Moore,6030159,5198832,20,,1.0107799714173188e-10
2021-06-30 14:44:06.378981,Colin Moore,6030159,5198832,20,,1.005970849556749e-10
2021-06-30 14:44:06.469005,Colin Moore,6030159,5198832,20,,9.950390447447752e-11
2021-06-30 14:44:06.558976,Colin Moore,6030159,5198832,20,,9.840646605550947e-11
2021-06-30 14:44:06.648922,Colin Moore,6030159,5198832,20,,9.809747976223618e-11
2021-06-30 14:44:06.739289,Colin Moore,6030159,5198832,20,,9.734259444628936e-11
2021-06-30 14:44:06.829216,Colin Moore,6030159,5198832,20,,9.713614087259361e-11
2021-06-30 14:44:06.921770,Colin Moore,6030159,5198832,20,,9.648201918917195e-11
2021-06-30 14:44:07.017827,Colin Moore,6030159,5198832,20,,9.636761006241694e-11
2021-06-30 14:44:07.103760,Colin Moore,6030159,5198832,20,,9.579046582500049e-11
2021-06-30 14:44:07.189554,Colin Moore,6030159,5198832,20,,9.547575713549883e-11
2021-06-30 14:44:07.275360,Colin Moore,6030159,5198832,20,,9.538470137544503e-11
2021-06-30 14:44:07.361192,Colin Moore,6030159,5198832,20,,9.536295325928948e-11
2021-06-30 14:44:07.446983,Colin Moore,6030159,5198832,20,,9.498570687282443e-11
2021-06-30 14:44:07.533086,Colin Moore,6030159,5198832,20,,9.473208809837868e-11
2021-06-30 14:44:07.619145,Colin Moore,6030159,5198832,20,,9.42557651368755e-11
2021-06-30 14:44:07.705126,Colin Moore,6030159,5198832,20,,9.406647831915707e-11
2021-06-30 14:44:07.792633,Colin Moore,6030159,5198832,20,,9.411836743213175e-11
2021-06-30 14:44:07.881108,Colin Moore,6030159,5198832,20,,9.452455218861075e-11
2021-06-30 14:44:07.969843,Colin Moore,6030159,5198832,20,,9.386468951788771e-11
2021-06-30 14:44:08.058641,Colin Moore,6030159,5198832,20,,9.361703163624134e-11
2021-06-30 14:44:08.147390,Colin Moore,6030159,5198832,20,,9.754453029541286e-09
2021-06-30 14:44:08.236438,Colin Moore,6030159,5198832,20,,9.800809956001211e-09
2021-06-30 14:44:08.325446,Colin Moore,6030159,5198832,20,,9.912173247585959e-09
2021-06-30 14:44:08.414019,Colin Moore,6030159,5198832,20,,1.011664499551858e-08
2021-06-30 14:44:08.503121,Colin Moore,6030159,5198832,20,,1.033963121667259e-08
2021-06-30 14:44:08.593504,Colin Moore,6030159,5198832,20,,1.0668715838749956e-08
2021-06-30 14:44:08.683215,Colin Moore,6030159,5198832,20,,1.1052205916292295e-08
2021-06-30 14:44:08.773610,Colin Moore,6030159,5198832,20,,1.1471572158497187e-08
2021-06-30 14:44:08.865263,Colin Moore,6030159,5198832,20,,1.2032508502507858e-08
2021-06-30 14:44:08.954806,Colin Moore,6030159,5198832,20,,1.249599613566351e-08
2021-06-30 14:44:09.044314,Colin Moore,6030159,5198832,20,,3.108377756653047e-08
2021-06-30 14:44:09.133890,Colin Moore,6030159,5198832,20,,2.8418075879088638e-09
2021-06-30 14:44:09.222514,Colin Moore,6030159,5198832,20,,1.1050746160505432e-08
2021-06-30 14:44:09.311107,Colin Moore,6030159,5198832,20,,2.4217500943849175e-08
2021-06-30 14:44:09.400331,Colin Moore,6030159,5198832,20,,3.206683962017105e-08
2021-06-30 14:44:09.489853,Colin Moore,6030159,5198832,20,,3.2563488229169835e-08
2021-06-30 14:44:09.579421,Colin Moore,6030159,5198832,20,,2.998631466728728e-08
2021-06-30 14:44:09.669825,Colin Moore,6030159,5198832,20,,2.681466703226429e-08
2021-06-30 14:44:09.759061,Colin Moore,6030159,5198832,20,,2.4788334924597234e-08
2021-06-30 14:44:09.847747,Colin Moore,6030159,5198832,20,,2.3833955921961415e-08
2021-06-30 14:44:09.936174,Colin Moore,6030159,5198832,20,,2.353880834556308e-08
2021-06-30 14:44:10.025100,Colin Moore,6030159,5198832,20,,2.374024235124098e-08
2021-06-30 14:44:10.114398,Colin Moore,6030159,5198832,20,,2.4264348163178363e-08
2021-06-30 14:44:10.204179,Colin Moore,6030159,5198832,20,,2.4760728930142604e-08
2021-06-30 14:44:10.293770,Colin Moore,6030159,5198832,20,,2.5241862224043878e-08
2021-06-30 14:44:10.384290,Colin Moore,6030159,5198832,20,,2.564313036904092e-08
2021-06-30 14:44:10.472908,Colin Moore,6030159,5198832,20,,2.5767104777341632e-08
2021-06-30 14:44:10.563324,Colin Moore,6030159,5198832,20,,2.5952007656146868e-08
2021-06-30 14:44:10.653920,Colin Moore,6030159,5198832,20,,2.6023534000028666e-08
2021-06-30 14:44:10.743586,Colin Moore,6030159,5198832,20,,2.593583031389094e-08
2021-06-30 14:44:10.834132,Colin Moore,6030159,5198832,20,,2.5865511574175346e-08
2021-06-30 14:44:10.923856,Colin Moore,6030159,5198832,20,,2.575911020318934e-08
2021-06-30 14:44:11.013335,Colin Moore,6030159,5198832,20,,2.5866871711659987e-08
2021-06-30 14:44:11.102818,Colin Moore,6030159,5198832,20,,2.587242685482429e-08
2021-06-30 14:44:11.192288,Colin Moore,6030159,5198832,20,,2.5830642305635788e-08
2021-06-30 14:44:11.281970,Colin Moore,6030159,5198832,20,,2.586857205258417e-08
2021-06-30 14:44:11.371441,Colin Moore,6030159,5198832,20,,2.5865171558580706e-08
2021-06-30 14:44:11.460933,Colin Moore,6030159,5198832,20,,2.595907646280894e-08
2021-06-30 14:44:11.550587,Colin Moore,6030159,5198832,20,,2.5969343565784233e-08
2021-06-30 14:44:11.640935,Colin Moore,6030159,5198832,20,,2.5952349618600515e-08
2021-06-30 14:44:11.732440,Colin Moore,6030159,5198832,20,,2.6148451835759417e-08
